Nonterminal,func,id,par_izq,par_der,llave_izq,return,op_dotcoma,llave_der,op_coma,op_equal,int,bool,num,TRUE,FALSE,op_suma,op_resta,op_div,op_mult,if,op_menor,op_mayor,else,$
,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,MAIN -> FUNCTIONS STATEMENTS,MAIN -> FUNCTIONS STATEMENTS,,,,,,,,,MAIN -> FUNCTIONS STATEMENTS,MAIN -> FUNCTIONS STATEMENTS,,,,,,,,MAIN -> FUNCTIONS STATEMENTS,,,MAIN -> FUNCTIONS STATEMENTS,MAIN -> FUNCTIONS STATEMENTS
,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTIONS,FUNCTIONS -> FUNCTION FUNCTIONS,FUNCTIONS -> '',,,,,,,,,FUNCTIONS -> '',FUNCTIONS -> '',,,,,,,,FUNCTIONS -> '',,,FUNCTIONS -> '',FUNCTIONS -> ''
,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTION,FUNCTION -> func id par_izq PARATYS par_der llave_izq STATEMENTS return EXP op_dotcoma llave_der,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PARATYS,,,,PARATYS -> '',,,,,,,PARATYS -> TYPE id PARATY,PARATYS -> TYPE id PARATY,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PARATY,,,,PARATY -> '',,,,,PARATY -> op_coma TYPE id PARATY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTS,,STATEMENTS -> STATEMENT STATEMENTS,,,,STATEMENTS -> '',,STATEMENTS -> '',,,STATEMENTS -> STATEMENT STATEMENTS,STATEMENTS -> STATEMENT STATEMENTS,,,,,,,,STATEMENTS -> STATEMENT STATEMENTS,,,STATEMENTS -> STATEMENT STATEMENTS,STATEMENTS -> ''
,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,STATEMENT -> ASSIGN,,,,,,,,,STATEMENT -> DECLARATION,STATEMENT -> DECLARATION,,,,,,,,STATEMENT -> IF,,,STATEMENT -> ELSE,
,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATION,,,,,,,,,,,DECLARATION -> TYPE id op_equal EXP op_dotcoma,DECLARATION -> TYPE id op_equal EXP op_dotcoma,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,,,TYPE -> int,TYPE -> bool,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGN,,ASSIGN -> id op_equal EXP op_dotcoma,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EXP,,EXP -> T E',EXP -> T E',,,,,,,,,,EXP -> T E',EXP -> T E',EXP -> T E',,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
E',,,,E' -> '',,,E' -> '',,E' -> '',,,,,,,E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',,E' -> '',E' -> '',,
,,,,,,,,,,,,,,,,,,,,,,,,
T,,T -> TERM,T -> par_izq EXP par_der,,,,,,,,,,T -> TERM,T -> TERM,T -> TERM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,TERM -> id INVOCACION,,,,,,,,,,,TERM -> num,TERM -> BOOLEAN,TERM -> BOOLEAN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BOOLEAN,,,,,,,,,,,,,,BOOLEAN -> true,BOOLEAN -> false,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
INVOCACION,,,INVOCACION -> par_izq PARAMS par_der,INVOCACION -> '',,,INVOCACION -> '',,INVOCACION -> '',,,,,,,INVOCACION -> '',INVOCACION -> '',INVOCACION -> '',INVOCACION -> '',,INVOCACION -> '',INVOCACION -> '',,
,,,,,,,,,,,,,,,,,,,,,,,,
OPER,,,,,,,,,,,,,,,,OPER -> op_suma,OPER -> op_resta,OPER -> op_div,OPER -> op_mult,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PARAMS,,PARAMS -> EXP PARAM,PARAMS -> EXP PARAM,PARAMS -> '',,,,,,,,,PARAMS -> EXP PARAM,PARAMS -> EXP PARAM,PARAMS -> EXP PARAM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PARAM,,,,PARAM -> '',,,,,PARAM -> op_coma EXP PARAM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,,,,,,,,IF -> if par_izq CONDITION par_der llave_izq STATEMENTS llave_der,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CONDITION,,CONDITION -> EXP OPERCON EXP,CONDITION -> EXP OPERCON EXP,,,,,,,,,,CONDITION -> EXP OPERCON EXP,CONDITION -> EXP OPERCON EXP,CONDITION -> EXP OPERCON EXP,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
OPERCON,,,,,,,,,,,,,,,,,,,,,OPERCON -> minor,OPERCON -> mayor,,
,,,,,,,,,,,,,,,,,,,,,,,,
ELSE,,,,,,,,,,,,,,,,,,,,,,,ELSE -> else llave_izq STATEMENTS llave_der,